"Date","Price","Open","High","Low","Vol.","Change %"
"20/06/2025","5,233.58","5,208.19","5,275.38","5,208.19","","0.70%"
"19/06/2025","5,197.03","5,248.42","5,248.42","5,196.84","","-1.33%"
"18/06/2025","5,266.91","5,288.63","5,300.25","5,253.56","","-0.41%"
"17/06/2025","5,288.68","5,311.09","5,311.09","5,265.30","","-0.95%"
"16/06/2025","5,339.57","5,295.92","5,344.12","5,295.92","","0.93%"
"13/06/2025","5,290.47","5,329.27","5,329.27","5,269.11","","-1.31%"
"12/06/2025","5,360.82","5,377.34","5,381.60","5,327.74","","-0.60%"
"11/06/2025","5,393.15","5,418.30","5,430.15","5,393.15","","-0.41%"
"10/06/2025","5,415.38","5,414.84","5,428.18","5,396.17","","-0.11%"
"09/06/2025","5,421.52","5,424.96","5,427.50","5,395.81","","-0.16%"
"06/06/2025","5,430.17","5,407.14","5,435.42","5,395.58","","0.36%"
"05/06/2025","5,410.55","5,406.69","5,432.38","5,382.10","","0.10%"
"04/06/2025","5,405.15","5,385.42","5,424.09","5,385.42","","0.55%"
"03/06/2025","5,375.70","5,363.99","5,376.95","5,326.22","","0.38%"
"02/06/2025","5,355.56","5,337.40","5,364.23","5,308.05","","-0.21%"
"30/05/2025","5,366.59","5,370.20","5,402.23","5,358.75","","-0.08%"
"29/05/2025","5,371.10","5,402.57","5,437.67","5,364.98","","-0.14%"
"28/05/2025","5,378.39","5,413.21","5,427.97","5,377.64","","-0.68%"
"27/05/2025","5,415.45","5,391.13","5,436.28","5,388.47","","0.37%"
"26/05/2025","5,395.33","5,364.83","5,412.57","5,364.83","","1.30%"
"23/05/2025","5,326.31","5,426.69","5,441.87","5,252.94","","-1.81%"
"22/05/2025","5,424.48","5,448.32","5,448.32","5,385.16","","-0.55%"
"21/05/2025","5,454.46","5,452.27","5,461.06","5,415.89","","0.00%"
"20/05/2025","5,454.65","5,430.86","5,467.28","5,423.12","","0.51%"
"19/05/2025","5,427.23","5,409.04","5,427.23","5,382.33","","-0.01%"
"16/05/2025","5,427.53","5,422.42","5,450.95","5,407.53","","0.29%"
"15/05/2025","5,412.08","5,392.32","5,412.08","5,363.52","","0.16%"
"14/05/2025","5,403.44","5,412.88","5,421.20","5,374.81","","-0.24%"
"13/05/2025","5,416.21","5,390.62","5,416.70","5,384.68","","0.44%"
"12/05/2025","5,392.36","5,319.28","5,421.61","5,319.28","","1.56%"
"09/05/2025","5,309.74","5,286.04","5,323.61","5,286.04","","0.39%"
"08/05/2025","5,288.94","5,240.23","5,304.78","5,240.23","","1.12%"
"07/05/2025","5,230.19","5,261.34","5,264.02","5,223.66","","-0.63%"
"06/05/2025","5,263.38","5,283.99","5,292.94","5,210.59","","-0.37%"
"05/05/2025","5,283.05","5,270.34","5,289.35","5,262.28","","-0.04%"
"02/05/2025","5,285.19","5,201.10","5,285.19","5,201.10","","2.42%"
"30/04/2025","5,160.22","5,162.95","5,185.30","5,105.80","","-0.03%"
"29/04/2025","5,161.90","5,176.03","5,191.68","5,138.71","","-0.17%"
"28/04/2025","5,170.49","5,163.23","5,199.30","5,163.23","","0.32%"
"25/04/2025","5,154.12","5,121.35","5,167.18","5,121.35","","0.77%"
"24/04/2025","5,114.98","5,080.59","5,116.33","5,043.45","","0.32%"
"23/04/2025","5,098.74","4,972.51","5,123.64","4,972.51","","2.77%"
"22/04/2025","4,961.45","4,919.76","4,961.45","4,894.30","","0.53%"
"17/04/2025","4,935.34","4,966.76","4,970.68","4,922.20","","-0.63%"
"16/04/2025","4,966.50","4,956.15","4,967.09","4,891.11","","-0.08%"
"15/04/2025","4,970.43","4,915.47","4,977.49","4,913.73","","1.20%"
"14/04/2025","4,911.39","4,828.56","4,936.12","4,828.56","","2.59%"
"11/04/2025","4,787.23","4,841.64","4,870.97","4,728.53","","-0.66%"
"10/04/2025","4,818.92","4,631.37","4,987.62","4,631.37","","4.26%"
"09/04/2025","4,622.14","4,705.91","4,708.14","4,569.51","","-3.17%"
"08/04/2025","4,773.65","4,700.37","4,826.68","4,669.95","","2.52%"
"07/04/2025","4,656.41","4,861.16","4,902.99","4,540.22","","-4.55%"
"04/04/2025","4,878.31","5,094.79","5,094.79","4,825.70","","-4.60%"
"03/04/2025","5,113.28","5,255.11","5,255.11","5,104.35","","-3.59%"
"02/04/2025","5,303.95","5,312.56","5,312.56","5,255.95","","-0.31%"
"01/04/2025","5,320.30","5,270.25","5,328.91","5,270.25","","1.37%"
"31/03/2025","5,248.39","5,312.17","5,312.17","5,218.48","","-1.56%"
"28/03/2025","5,331.40","5,368.90","5,374.80","5,314.54","","-0.92%"
"27/03/2025","5,381.08","5,393.32","5,399.57","5,338.62","","-0.57%"
"26/03/2025","5,411.69","5,479.68","5,491.24","5,407.52","","-1.16%"
"25/03/2025","5,475.08","5,422.47","5,496.73","5,422.47","","1.09%"
"24/03/2025","5,415.79","5,441.60","5,470.23","5,402.34","","-0.15%"
"21/03/2025","5,423.83","5,435.76","5,436.46","5,393.30","","-0.50%"
"20/03/2025","5,450.93","5,506.82","5,515.38","5,431.99","28.70M","-1.02%"
"19/03/2025","5,507.36","5,482.95","5,515.05","5,460.94","","0.41%"
"18/03/2025","5,485.01","5,454.20","5,501.41","5,454.20","","0.72%"
"17/03/2025","5,445.55","5,400.82","5,446.86","5,386.99","","0.77%"
"14/03/2025","5,404.18","5,327.83","5,412.43","5,312.75","","1.42%"
"13/03/2025","5,328.39","5,349.66","5,385.86","5,314.73","","-0.58%"
"12/03/2025","5,359.42","5,330.03","5,406.67","5,320.05","","0.93%"
"11/03/2025","5,309.90","5,400.10","5,426.63","5,294.37","","-1.43%"
"10/03/2025","5,386.98","5,480.17","5,494.13","5,375.15","","-1.49%"
"07/03/2025","5,468.41","5,503.96","5,503.96","5,434.86","","-0.94%"
"06/03/2025","5,520.47","5,507.88","5,541.41","5,452.35","","0.57%"
"05/03/2025","5,489.12","5,409.93","5,533.18","5,409.93","","1.89%"
"04/03/2025","5,387.31","5,511.65","5,511.65","5,370.75","40.45M","-2.77%"
"03/03/2025","5,540.69","5,469.10","5,568.19","5,434.62","27.29M","1.41%"
"28/02/2025","5,463.54","5,455.96","5,463.54","5,411.54","45.82M","-0.16%"
"27/02/2025","5,472.56","5,515.04","5,515.04","5,437.38","27.65M","-1.00%"
"26/02/2025","5,527.99","5,459.87","5,533.95","5,459.87","31.22M","1.47%"
"25/02/2025","5,447.90","5,431.44","5,477.21","5,424.87","29.80M","-0.11%"
"24/02/2025","5,453.76","5,478.39","5,483.18","5,422.86","19.23M","-0.39%"
"21/02/2025","5,474.85","5,469.23","5,489.92","5,454.58","25.03M","0.25%"
"20/02/2025","5,461.03","5,458.08","5,500.15","5,454.80","18.76M","0.00%"
